15000 75000
2511 11808 9
3869 11084 6
7776 9969 10
5418 10744 3
4751 8657 6
6511 748 9
12618 12053 3
10008 10536 10
4695 11986 7
2347 8975 8
3061 2838 7
4811 6708 3
3388 14484 2
11047 4902 8
10171 9654 7
4057 7517 5
1435 5135 10
6457 143 6
1197 4838 5
205 7185 10
5982 1598 8
14920 6410 6
11294 9798 3
2637 12198 7
4724 7369 3
6820 11426 10
9664 12861 5
914 10671 1
9051 3220 1
14175 3425 9
4626 759 7
12916 680 9
6561 3326 10
12395 5964 8
8132 10688 7
4874 2509 6
9134 3525 9
9880 4439 2
2122 4843 2
14203 10370 9
9821 14997 1
7037 12913 1
8368 10826 7
4497 8222 3
12824 1354 2
4872 6228 1
14699 6714 8
13740 7947 8
8451 10069 3
6383 9272 3
5443 10445 10
5263 8835 5
12115 2203 2
7294 6700 4
8436 10876 10
5267 7100 10
10959 13152 7
5177 11892 4
10186 5343 3
5038 3078 8
10260 8522 3
6832 13785 10
1316 10901 3
6627 9547 5
11512 2983 3
9103 8251 4
12923 4210 6
14809 9387 8
994 10925 3
5896 963 2
2775 2576 6
10100 9408 1
11259 2076 4
14622 56 1
7388 2920 7
11031 12024 8
13126 1299 10
7021 7460 10
4160 8454 5
12994 5702 1
9907 8478 7
342 9930 7
10915 6189 3
8740 12163 1
9761 10904 2
5117 6935 6
76 5061 7
14245 3434 7
5506 13946 1
1341 3292 5
4491 13200 5
1569 13542 5
8055 809 7
7969 9550 10
7940 10663 4
10831 7132 1
2098 7208 4
1016 12805 10
1042 3312 8
874 11005 1
6408 6848 1
3125 8417 5
9771 1472 5
7607 9441 7
8959 8733 10
6214 10916 2
1757 13014 2
2360 14030 7
12750 6424 1
4789 7298 8
8769 5059 6
2301 14536 3
9376 9307 5
8612 8267 9
2398 2226 2
13199 14792 1
9780 1549 7
11273 3910 8
10571 8012 4
4534 12801 5
9501 12923 6
6317 224 2
11549 952 9
9606 916 8
2104 9666 4
9687 7865 7
13187 8997 6
6054 5270 8
4303 7194 2
328 11728 6
3652 6229 9
3387 12546 3
9010 448 8
8941 10054 4
2138 3510 1
12562 4549 6
14130 9089 6
2247 6495 8
9275 2150 2
7018 2478 10
2563 12483 2
11031 7222 10
11076 1233 8
12073 10174 4
13986 3664 6
1918 7578 6
12716 6708 7
2511 8956 2
10280 9583 4
3892 1601 4
583 4165 7
3504 196 10
10324 2624 5
8943 14697 1
2617 5036 5
6152 6954 4
5589 4670 2
14115 13533 10
5488 8814 5
14011 12706 7
1365 4641 4
7553 14498 2
5964 9822 7
5608 10117 4
13130 12734 10
2965 10239 7
6730 828 7
2203 6296 3
6633 11784 7
11997 2148 5
10315 9865 6
12798 2418 4
6830 14735 8
3486 5343 6
6191 9826 2
13933 12791 3
13629 10873 4
2995 13076 10
12247 11061 6
6665 14411 4
13789 9726 9
1907 13877 10
4522 12059 5
8312 6897 10
7219 13088 6
10212 12021 9
8445 10650 2
13858 4998 9
1919 8597 2
1764 263 3
3758 5404 2
6968 13663 9
12597 3186 8
2961 2850 5
11373 10069 5
8258 5281 7
9287 5078 9
12540 3936 7
13870 5855 7
11262 7620 10
8064 2730 6
5945 9698 10
9055 7296 8
9224 1609 8
9938 12982 7
6445 6241 10
14973 6880 9
4151 10772 7
4680 9643 3
13806 12257 5
14547 11673 5
12044 8971 5
1853 3026 3
7552 12251 3
9749 13541 5
13367 4986 8
13619 4959 10
12597 463 3
6863 5143 8
13337 10301 5
3783 1200 10
11959 13244 1
14834 6450 8
1356 14002 1
10840 104 2
3307 4823 9
2014 3442 10
5306 7391 3
4370 5607 8
4429 10296 1
1745 14080 1
10734 2391 8
13695 2225 8
11034 9934 2
5624 12126 8
13755 433 2
3225 8800 6
4007 14106 8
13899 9828 5
11639 14257 1
4679 1002 3
5272 3088 5
4109 1783 2
748 12817 8
2741 9793 5
4839 8549 8
3112 3126 8
4827 7133 6
5286 12385 4
5000 376 1
6363 5055 5
13157 10327 6
991 5788 9
12403 6536 9
10100 9278 2
4924 5469 3
6534 8581 10
10591 4760 5
5107 10047 10
802 6399 6
4403 4114 4
6709 2272 3
12104 3263 4
10635 7018 2
13335 8471 10
10828 4747 1
1871 11281 4
2392 13225 5
10046 9684 4
6438 10486 3
3205 14889 10
11380 12951 2
14883 1407 7
526 3394 6
14057 1729 9
13219 12558 8
9201 14429 10
13765 8173 7
14441 3219 1
10164 1009 7
12286 10567 9
9875 6947 10
1088 13182 9
10565 5060 4
3412 10470 3
11082 41 3
8499 9242 2
2198 14359 7
474 13800 9
14786 8964 8
3233 12603 5
12921 7478 5
11912 14919 7
12310 10484 8
7455 5248 10
12978 1330 1
7410 9829 3
7624 3380 3
1010 10206 3
3968 9993 10
14288 13226 3
5174 11147 3
9360 8059 2
5377 11721 6
12806 4177 6
705 8507 6
9997 917 6
13531 14893 6
10073 7256 2
11768 2576 5
7427 8216 3
689 13391 10
14133 7751 1
6145 4480 3
14992 8638 10
14088 695 7
14513 10692 6
1120 9224 2
6107 10649 10
14949 13769 6
10135 12548 3
3548 4589 6
14459 3723 9
3430 9868 2
10474 9860 2
6695 300 8
11423 14814 2
8420 7286 8
5311 13394 10
810 4695 9
5238 6182 10
2882 9730 9
13917 542 2
407 10324 2
6378 5798 5
12340 3845 5
10349 268 9
4050 8688 8
4680 5352 2
959 12514 7
2359 2752 9
1308 5634 2
11199 10903 6
3460 11311 10
3294 9041 10
12988 12733 5
7982 8082 5
9143 3485 3
2590 14517 7
783 6828 2
12319 9187 6
6389 1848 3
10190 13047 8
12237 7859 1
3256 11153 3
6425 493 8
4791 14828 3
3425 8971 10
2100 2913 7
6126 3696 5
14019 7367 4
1017 13756 2
8649 299 9
3536 12536 9
1087 7145 4
14031 4922 8
9708 9714 6
11172 4491 9
1121 6591 2
11939 4070 10
8233 9441 9
5067 10458 5
10100 4107 6
6829 13996 5
2769 83 10
9862 5466 4
8801 174 10
1216 2699 2
8954 3820 5
10957 760 7
8008 345 9
12426 11764 7
6953 6865 7
8130 5046 3
6844 7815 8
4055 9029 4
6189 2831 10
740 10399 9
8431 10706 10
5418 13015 2
6474 6024 7
1972 9802 4
14281 1755 9
697 9886 7
1109 8082 4
14308 3490 3
11621 1031 6
460 1771 8
6999 10203 4
8710 6973 9
11181 13447 5
5349 6772 8
11282 6053 5
432 13102 3
9628 5563 6
2991 4871 6
11736 1492 7
8311 8304 10
6638 303 5
7023 365 8
14072 2898 6
9848 14600 10
9075 10882 3
7762 2667 7
1334 3647 10
2989 6639 1
14486 9727 3
12014 3038 7
11314 1029 3
12168 14404 10
4996 13476 9
2623 14677 9
7022 104 3
8826 7866 2
8732 9201 10
14201 12190 1
9541 3029 8
12725 43 8
9213 2709 7
6005 14878 2
867 11226 10
7275 13849 9
4635 12223 4
4229 6049 10
6491 6133 1
12400 5334 4
1300 6227 3
14927 3952 8
7944 4517 8
8343 1875 8
8146 2742 6
12777 1369 7
2086 6004 10
6499 10233 1
3778 8076 4
1611 11828 10
11634 4480 7
1038 4407 1
5485 3704 8
3994 3399 3
8733 2897 5
9698 674 4
864 9112 10
10605 611 6
2747 10742 2
9670 12353 3
13279 339 3
8115 1377 3
4607 6862 9
14265 2209 8
2149 10942 7
7776 11993 1
14771 4209 4
12771 6167 7
3708 8914 9
2721 9937 4
13563 8216 3
13886 7684 10
9968 12291 5
7458 2908 6
1995 5058 10
5781 12834 3
1593 12605 5
6518 1728 2
12055 5436 6
4685 14510 3
9669 13073 2
6343 3311 8
4395 13279 1
661 5737 10
14136 14084 10
14905 11217 6
4020 4163 3
12344 10681 2
11835 7736 10
11592 3774 10
6287 4795 4
550 11138 5
2497 533 7
8087 1194 6
7938 6682 3
12847 6588 2
13294 10608 5
11347 14304 7
11128 2491 5
14049 14083 9
10129 11722 6
10634 3624 5
14450 6121 10
7898 5561 7
13436 4851 1
9410 9051 9
1601 7345 9
12956 3692 3
11344 6172 6
2468 5222 2
3719 6703 4
9764 2337 9
3300 8139 2
3722 7390 5
11690 5826 7
11340 236 8
8931 1837 3
8481 6145 6
7336 2489 10
8681 11310 2
462 6381 5
10318 7497 4
8798 10798 6
13399 5872 6
14914 8914 2
6280 11606 10
13049 5537 9
5811 5371 5
8618 12707 6
2598 6388 8
8151 13203 9
14056 8521 7
5001 2319 7
4086 7070 1
10561 13336 5
14214 4616 1
9455 9017 1
6534 14829 2
1110 14799 9
13175 2397 9
12903 1901 4
10363 957 7
8969 12310 8
9725 1397 9
7705 3310 5
5951 8877 4
9452 3332 1
9842 9866 2
603 2328 2
10423 504 1
2983 4759 2
8747 122 1
14383 444 2
13691 10169 1
11421 9227 3
7487 178 10
14522 982 5
9223 10824 3
1456 2779 2
8489 4554 8
2920 7538 7
5603 1285 1
596 7020 5
7899 12063 7
1599 8484 4
11313 972 4
14905 6846 7
6829 1069 1
14971 8878 3
10442 2367 7
12769 11639 5
11207 2243 2
9768 9191 3
124 2090 6
650 10041 3
1755 6354 7
3039 6259 3
5305 4440 5
9747 4412 3
8321 6206 10
5098 10328 2
764 6535 7
12716 7655 8
8040 14132 8
9075 14782 9
1299 7890 5
9495 2281 7
890 7586 7
8354 8685 1
9696 2007 10
4757 13457 8
11458 14221 5
3106 11937 3
12593 4977 5
9170 5405 9
7140 6704 1
2817 7552 2
4753 8442 10
2481 8148 6
4622 9196 5
10673 13953 4
12052 1764 5
4966 4870 5
3240 8816 4
9294 2986 1
12835 1479 8
9265 4296 10
7977 9049 4
5626 2882 2
3313 13856 8
9359 9529 3
13862 6581 9
8939 2900 2
953 6140 8
10648 435 6
10749 4622 5
8906 13887 1
5967 13216 2
2822 10195 5
7825 13508 1
672 14220 3
5176 13082 4
11445 7021 4
5288 14326 5
1595 1327 2
7240 3428 4
5717 12334 3
8489 9653 2
5311 12475 7
11367 5300 7
1279 12324 7
721 8852 10
13097 11649 3
13372 1937 2
13436 3532 1
11639 2125 9
14464 7842 5
7529 1331 8
13810 12994 5
6638 9361 7
12974 1993 3
3531 9066 5
13522 13515 5
534 11888 2
14577 1676 7
14947 13316 2
3745 4132 4
2581 11661 5
4718 1823 10
2034 8461 3
4650 6436 8
2294 9967 7
2439 8489 2
14233 375 10
4316 6305 9
12932 12604 5
8673 1350 9
12256 10283 1
8523 2 4
2784 8388 8
6406 4391 4
9726 6685 3
7112 9124 4
3013 14709 1
2155 4026 6
2973 8310 1
8459 1984 3
3077 5592 6
709 5467 10
8813 8251 9
1730 6010 10
7435 736 7
8107 7848 2
8620 2213 3
860 4368 1
5758 13693 2
1908 7152 8
5760 10230 2
11247 10939 10
1737 11104 3
615 4186 3
10236 11621 1
11542 11080 1
13325 11052 5
6170 11913 5
3040 2671 9
8221 10931 3
13090 8043 3
8552 4290 5
833 6027 1
1365 12994 8
14260 14582 1
4242 2477 4
2073 802 6
2117 6972 9
4233 1365 2
13691 9586 5
6654 7677 8
1198 7581 9
13034 8414 8
5975 1131 3
9454 6743 5
906 10986 4
3439 13059 7
2025 6528 1
3875 10761 8
14749 805 5
6553 13811 4
12753 9 7
1891 4396 3
3408 1723 4
9272 2529 8
14719 3435 4
7642 13227 3
7720 6604 3
6123 1831 4
5890 1580 9
6596 14486 2
6331 12239 2
13647 5482 10
5729 242 3
5295 867 2
11604 586 9
7547 14580 8
7901 7301 2
14783 4776 4
8778 10666 6
3579 2263 4
12190 14946 3
12163 13594 7
1532 10675 2
7624 970 9
7597 12574 7
11006 11473 7
3993 10726 10
9937 1861 6
2712 10640 3
12067 5571 8
12261 2761 4
1045 14925 10
10312 7809 6
11173 434 8
4253 14383 5
12919 10389 10
6165 5735 7
13065 7024 8
9740 9736 10
8434 13155 3
9391 10416 5
1647 2814 2
7496 13126 3
373 651 9
9221 11256 3
13347 9175 4
13946 340 1
1624 4757 5
6164 5850 1
12695 14284 7
9798 28 5
9662 1675 9
7155 523 7
12457 897 10
9546 1470 6
12370 6169 1
10583 5115 4
5884 13092 3
14560 4256 3
2973 1951 10
4541 11749 8
1525 12763 5
7676 11270 10
11952 80 9
14584 978 9
7119 13348 10
182 283 6
14937 12519 10
4449 12080 6
6164 53 9
7163 4594 9
8190 12471 4
8596 5147 5
9525 8452 7
2704 8036 5
3704 6507 5
10874 13041 8
14511 12978 8
1240 8780 10
7225 14944 3
6513 13459 9
8903 6649 2
409 6597 10
3185 1122 4
6041 3826 2
1227 13883 9
9761 9757 3
3578 9268 3
1267 10508 3
2388 9085 9
3562 6950 8
9330 7206 9
10274 7615 6
1365 10800 1
908 8193 9
14839 9420 2
11629 4181 1
6461 14111 9
11976 6731 9
4918 9119 6
10509 12682 7
14558 13364 5
1609 8638 10
10256 10003 2
5026 2263 5
1327 8454 7
5158 5084 8
1451 2897 1
659 6225 2
8080 2496 4
9585 13005 6
9393 3915 2
7759 5524 1
13740 7133 6
521 12159 10
1847 4838 6
3945 1349 10
3872 2800 10
615 3459 5
4088 2891 1
1681 3829 8
3308 13222 6
9652 12334 10
3282 11074 3
4619 11596 5
8220 4795 5
5276 8741 4
13767 3965 4
1508 10932 6
10475 21 7
6937 8054 6
1405 2715 1
12492 12367 5
7751 7001 9
1496 2972 7
13752 11193 5
846 1469 6
4290 6588 3
1885 8097 6
2940 3572 7
6887 10509 3
6014 3266 8
9716 758 7
4400 14862 10
1511 7710 3
10217 12814 6
6423 5012 7
5018 654 5
5283 2540 2
10128 5480 6
6346 3719 6
10618 1086 4
8958 10802 5
11016 6555 7
5076 8066 9
2108 9635 3
1685 1059 5
2731 12429 10
10365 2712 10
2449 12840 2
4456 10538 4
10621 12509 10
2757 12819 2
10651 8835 9
3407 13911 5
10225 7371 3
6209 9056 2
853 3139 3
2504 4857 6
6695 7306 8
1367 11762 7
12462 13736 6
3291 7845 5
11274 3496 10
10813 13255 4
9769 14832 7
3361 6041 4
4364 13246 5
2797 7103 2
3942 13798 10
9279 6517 5
10155 3979 3
14892 13622 8
11096 9897 4
7488 12062 1
9143 6831 3
3169 10193 6
12604 5909 4
10179 8706 7
3962 12648 6
5052 13280 5
9256 14787 5
3548 14680 9
12037 2128 6
9022 968 10
4262 10111 2
5686 4633 7
4503 8589 6
1566 10120 3
12085 14083 3
6402 10487 3
7236 11095 1
3402 5995 1
13191 3032 1
9228 12054 10
2328 7668 1
8611 4706 6
10087 9209 6
8824 2127 8
1268 5564 1
6361 11966 10
9733 10555 5
4245 5309 10
13437 9852 2
9758 10433 8
7047 12761 8
5799 12724 4
9185 14163 5
12512 7987 3
10959 608 9
14842 6969 8
14211 8054 3
9676 12300 4
2487 10737 7
13331 5495 10
6228 3894 3
4498 9694 9
1121 3879 2
13306 1391 1
3970 3702 9
198 3544 10
14745 2756 5
1199 12432 7
7963 14919 4
931 4602 2
4332 10831 6
11846 329 10
2084 7802 1
12837 12460 4
1577 1430 7
12278 7981 1
14947 14078 7
10671 278 1
10047 14593 3
11513 6876 5
9826 2560 8
5681 5758 9
2583 7842 2
9715 12031 2
3239 4960 5
465 2238 6
7587 8538 6
11114 4209 4
9776 5609 9
8358 8474 7
2895 3300 7
8262 333 5
11663 2916 9
1514 12632 10
10177 7223 3
11623 7688 1
6050 275 1
14556 2741 1
8339 3870 2
14420 3580 6
12376 6475 8
12893 6090 1
10519 2753 10
988 10619 4
9839 12148 7
8651 8772 7
1054 14822 4
1994 14378 6
13496 14070 8
6959 4842 8
8896 2218 4
14133 6463 6
11056 8335 1
10895 9323 2
14718 10514 10
10764 4166 4
5850 11572 9
7563 13566 9
3370 3415 1
3047 10374 3
6305 4271 4
7390 9756 9
5917 5812 4
7197 1707 9
1800 7777 4
8551 3541 2
9075 743 6
7125 14659 2
4553 3029 9
13756 12429 4
6448 10086 7
14063 8828 5
4494 14745 8
11907 13294 7
11348 94 5
6303 14997 6
11776 424 2
13821 7549 1
5784 3455 2
1163 2211 3
13268 11 9
5996 5427 7
8480 9921 4
1777 13180 10
3134 9528 4
12268 831 2
1295 3959 6
6066 2780 8
1848 8565 3
660 9728 6
3252 14348 9
7283 5344 6
5141 13824 7
2745 6954 10
4994 10088 8
13690 13708 2
7383 6355 1
1500 12422 4
3167 14270 9
14641 6282 9
4678 9535 7
9727 1818 1
11554 6959 7
8303 1056 1
3232 12403 1
14041 11093 9
2034 9828 7
8987 11328 9
3720 5848 1
7018 11841 4
11396 1520 1
6474 2599 1
544 14153 2
6142 7456 9
12343 2040 2
11335 1082 7
9036 9468 5
13092 3455 5
14570 13527 3
13022 5545 7
2757 8293 9
2027 6119 8
9467 13015 3
219 4158 2
13379 7853 2
8942 4188 6
598 13224 7
8434 11316 2
3950 2238 2
5315 6613 9
3521 9370 3
9599 11398 4
3276 12217 10
8810 3788 8
6801 2167 3
13185 2461 1
5650 9411 8
13936 2845 6
2030 6796 7
3651 3463 10
2169 6984 10
333 7935 10
10969 11211 10
13268 11373 8
11077 3175 8
1739 1360 9
11589 13362 1
2368 3651 8
4464 12033 6
150 7036 9
2449 557 3
5470 7243 8
11242 3212 1
14231 1480 5
6008 3909 2
6305 5648 4
416 8589 6
12586 10958 9
3953 422 2
8469 572 8
1447 9373 8
7762 14843 1
659 2437 3
2472 1668 5
658 7677 4
2019 5334 4
11092 5750 3
9879 9688 3
12318 13642 7
3141 13463 1
1001 14910 4
14418 14024 10
5078 14684 7
5302 8508 6
13358 9166 5
10323 11185 1
12936 13629 2
490 8508 2
5355 12178 4
10641 320 9
7852 7673 2
14435 7091 6
3566 3521 2
3783 175 10
12020 13533 8
4286 8856 3
1886 13144 4
11589 4986 5
981 10341 5
10366 12335 7
3215 5187 10
2326 10974 1
6813 14541 2
10985 9676 7
16 13048 2
13214 2334 10
13948 4220 6
13312 810 3
3888 8143 6
6642 3509 1
1069 13076 8
3168 6754 3
3711 13568 6
1422 905 2
5661 921 10
14784 14135 4
2764 4436 6
10239 2748 8
14053 12988 1
13209 10982 1
1051 12051 9
2729 6572 4
6733 10283 4
1630 3057 9
14851 70 10
2472 14855 8
7427 2619 4
7954 4210 4
9292 3264 4
3772 1473 6
8114 2524 10
1885 11605 2
11058 9690 7
10151 11320 4
1501 2523 5
8772 4995 2
