10000 50000
9456 1620 7
6474 1496 7
5391 5548 3
6766 1481 10
8378 4493 4
177 1633 7
7569 3450 4
938 836 7
7906 7045 2
4677 6689 5
4474 6145 5
5092 2619 3
4848 8010 1
242 1129 5
7791 9507 8
1526 6036 3
9174 3606 4
3249 4544 2
5435 2451 7
3669 3480 6
1435 4306 2
821 9398 3
1703 598 6
4485 840 7
5101 4983 6
210 2861 3
6953 8387 9
3498 1636 5
879 7072 8
1657 7093 1
9124 8528 7
2737 9349 8
8970 7404 8
5917 1889 1
3993 6991 6
7928 3553 8
7900 506 7
7830 356 4
2305 7587 8
5582 9244 3
5044 8369 1
8813 1106 2
1980 6428 6
8449 8697 7
5759 2690 10
4405 6971 4
2264 4871 2
8510 9054 9
2745 1359 6
404 3293 3
5156 8338 4
4788 7151 2
3769 5483 3
154 3932 10
4781 6044 1
2750 449 4
625 9065 7
9007 7575 1
7745 6673 10
422 7077 6
2344 8586 4
5339 3374 7
9441 7144 2
6323 3650 6
8254 4783 10
2876 3886 9
4469 4511 4
7286 3518 2
9156 1263 5
8738 8038 4
1613 6734 10
9178 2074 7
246 7867 1
6797 542 3
3632 8796 7
6512 1673 3
6192 2494 4
4938 9780 5
1259 5289 8
605 4027 8
7028 5640 3
8390 4818 7
3126 1416 4
1358 8213 6
3240 8197 2
6258 1061 7
6810 7254 2
8226 2192 4
3160 9803 3
5709 408 10
6297 3788 2
3619 2178 2
9367 1656 8
2982 3014 3
787 2607 1
3740 8865 2
4719 2028 8
8192 254 10
1445 9766 5
9988 5475 3
8909 8124 2
9823 8095 2
5554 3814 9
9054 6796 5
766 7583 2
7028 7676 10
4352 2395 8
8929 587 2
2051 8384 8
4975 4724 5
8308 3634 2
1781 9809 7
7432 5363 2
1092 769 10
7767 7888 4
3400 4916 2
7899 9268 7
4426 8198 6
7559 6601 10
458 1576 5
5185 6236 1
8036 8017 10
5334 1802 5
6447 2894 7
4357 7013 5
6202 414 1
5723 8313 2
3991 9092 10
9198 6651 3
6437 3462 9
4753 8647 8
3055 6683 7
1166 8369 9
993 4817 4
1589 5526 7
73 1728 3
9825 3803 7
8846 7794 1
2417 6992 4
2589 9781 6
690 887 3
5027 3942 8
3733 5109 10
594 2454 9
3997 4043 5
765 468 5
7948 293 8
9796 5492 4
7088 7909 8
1031 6851 1
4789 7541 8
7193 8920 3
6281 2653 4
6442 3247 8
1420 3596 1
1924 714 1
508 8662 4
9247 4810 8
5780 1898 8
2009 2929 9
8019 4070 2
4917 1264 2
2109 7545 7
762 339 7
8221 1759 3
3371 3683 9
5341 543 3
3956 6142 3
4416 8274 3
6433 283 5
1653 8302 5
4414 9571 9
2447 8032 4
3133 5146 3
3419 3367 4
3654 3090 9
954 4783 2
6917 5092 4
7689 9508 8
6712 2293 3
5016 3946 6
7390 4712 9
1029 3511 2
8564 6644 8
6439 6416 8
6072 6422 8
5741 7376 2
2304 645 4
5010 8335 2
5989 1399 7
7252 2767 3
3169 157 7
8657 7538 10
8530 2455 4
3550 8894 2
1937 1318 6
9766 3411 5
6027 2068 10
3732 3430 7
945 9419 6
451 3023 3
255 6192 3
1123 1202 3
5502 6084 8
2878 9634 4
3021 7923 5
5939 7690 6
6233 69 6
3524 154 6
5503 7451 6
8880 7903 9
8673 4510 4
1327 1986 8
1519 7488 2
4167 6718 7
2060 9740 2
3976 5679 4
2952 8264 4
6699 8140 10
7525 3643 1
4122 2524 6
3742 7549 7
5907 8876 3
9274 6747 3
8726 7266 2
4164 5679 4
7525 9655 3
4929 2607 9
8754 5659 9
2733 9536 5
4163 3658 9
6201 3752 10
6397 9660 8
4931 8934 5
7305 4012 2
46 8176 1
8879 2054 6
9743 3335 6
5223 2089 7
2492 4822 3
6108 5337 1
2248 1538 5
5937 4287 5
4854 5570 2
6870 2876 6
6153 9274 5
1115 4506 9
9381 4249 4
2958 9473 5
8546 8317 9
7318 4425 6
6100 3025 7
8634 8962 6
7181 168 7
1014 7038 5
8859 3192 9
1233 4307 5
2013 40 7
9776 9350 2
5980 7896 1
9710 5214 8
2426 7666 3
9384 6301 5
6981 3482 3
149 4496 3
6193 9707 7
7864 941 7
4040 2954 9
4466 9083 10
7069 1415 8
7989 1126 5
9686 9904 1
4408 5640 4
4444 2621 6
4648 9123 4
8243 5316 2
5029 9532 5
2475 3573 1
2666 8039 4
5855 1461 2
9644 9450 10
8648 5489 4
1671 6249 6
994 694 7
152 1694 10
157 9937 9
9870 4967 1
524 3794 4
6837 6460 6
2232 8667 7
9043 8312 9
3332 3312 8
3877 1335 8
62 2330 4
5221 8834 8
9502 5343 6
5452 5214 3
4583 2090 9
3638 8927 10
7085 7512 9
1993 6555 3
6352 6240 8
2551 117 3
5000 6532 5
8143 1753 9
9333 7607 5
4108 3060 9
202 7643 1
90 7633 9
2791 4719 1
4160 3064 8
6544 5768 8
2241 8320 8
9274 9672 2
4988 4168 7
5889 3501 4
2133 7609 4
9943 4163 9
9843 4253 5
5023 3397 6
7715 3909 10
6963 453 9
8802 2695 1
7111 1969 5
1952 3309 3
1250 5550 4
1804 4035 5
1769 3978 10
5730 174 4
7324 5197 3
9989 9265 2
2070 6228 7
9920 1382 2
2442 4846 3
4637 3150 3
999 4401 5
7215 6205 1
7391 7974 1
1731 56 7
6676 7380 7
1370 3721 2
3621 5792 2
2677 5712 6
781 8155 2
853 2792 3
587 143 4
5872 3710 1
1544 7454 7
7546 9185 4
3723 2213 6
1449 3583 8
8440 3556 10
4363 6233 4
1668 7014 9
3820 4220 3
5474 4807 9
1529 679 1
141 8575 5
6727 6122 2
9722 6197 5
98 7646 10
4195 2438 6
436 6801 2
2389 8469 6
8850 8641 8
4454 467 6
202 1996 7
6013 2137 3
5629 5217 7
4431 4939 4
1797 1389 2
2747 1936 10
7252 2372 3
4343 1114 4
4801 9964 6
9478 4418 5
5315 973 2
1832 6986 1
3276 2615 8
7194 3398 10
957 5196 9
8718 7943 8
5269 5195 10
8621 5891 4
3146 692 10
9961 6522 9
9948 1838 2
5579 22 10
9699 3298 7
5389 6844 6
6018 7801 2
4388 2871 7
4695 4492 2
3727 9465 3
3872 2611 7
3982 8925 10
4862 8873 8
6715 4452 10
5554 503 10
3360 2244 4
917 8262 7
3670 9003 10
4366 50 2
6610 129 7
4744 4002 8
3571 7984 3
8920 9198 8
2459 5913 10
9668 1467 6
2879 1179 10
6582 2097 5
4438 5767 10
7869 6486 10
9440 3096 10
476 7840 4
475 7763 8
9400 3035 8
7197 5494 1
5799 1514 8
4904 4393 9
2605 7327 8
8569 8117 6
9888 5986 4
7610 5426 10
5461 2254 2
7314 9082 6
3503 8482 1
8890 2031 8
190 7830 2
9309 9086 8
9607 1692 5
8355 261 5
9222 6502 1
6575 464 10
3376 5925 4
8017 3239 8
6774 3094 10
8567 1984 4
5854 8526 4
4655 4187 1
4202 146 3
7429 8501 6
8773 4075 10
6103 7002 4
1564 6730 9
9280 1100 10
6077 7874 6
7709 6441 2
1372 8647 8
9217 3303 5
9797 3857 2
8421 1286 5
3659 59 3
5398 2515 7
3954 4079 8
8434 3359 10
2506 5789 6
9671 3498 8
5173 1222 5
9200 439 10
3767 237 8
8480 5010 6
8046 8669 8
8040 420 3
5037 4374 4
5116 9160 6
6295 1666 7
1700 1338 5
9899 6511 7
6746 2063 6
3247 2182 5
3606 662 6
5252 5061 7
3309 9453 9
233 842 5
7588 5958 6
4655 8605 2
7511 6658 10
3865 2909 3
7793 6007 7
2161 9255 9
6765 9213 4
2732 4465 7
3721 4126 10
5129 4359 3
3616 8300 3
4911 2955 1
4224 467 9
8524 684 10
2038 4830 8
7616 6991 5
5377 3756 8
3800 2841 6
9988 6562 2
5629 8043 4
5761 1659 4
8204 6570 1
1956 7147 10
6014 5671 7
5685 4061 7
5012 1678 8
6298 7055 6
6798 7207 9
1763 7195 1
854 2824 5
7009 4938 6
1464 9494 9
8875 1450 6
9456 3816 9
722 9501 10
3170 866 8
2609 7164 5
5805 3962 2
8193 5725 9
3496 2932 6
6842 9941 6
1847 7758 10
6127 6633 2
1202 6089 8
8300 3164 1
5812 6334 7
5001 8944 2
1246 1101 6
1049 5646 4
4400 5494 6
575 2336 9
4392 536 7
7703 6663 2
2464 7866 4
7393 2518 8
1823 8330 4
7120 3332 10
5933 930 3
8708 1979 10
3561 6379 6
7698 3306 3
1777 7698 1
9965 5401 4
4787 7865 2
8402 1610 3
5181 3434 3
8294 6906 7
3056 2839 7
8918 1547 7
6779 1461 8
135 9159 5
2179 7288 3
4759 3606 7
4002 8393 4
3816 3147 5
6148 8328 1
3162 6622 7
9861 6030 6
1137 4949 5
745 1728 8
3085 8215 10
2379 394 10
5723 5153 6
821 5508 1
3785 9324 8
4711 1824 6
9071 4986 1
6689 4847 1
7146 2337 10
5502 9434 1
5320 2519 8
649 1250 3
9618 6974 8
8546 7795 6
5866 7932 2
6334 2643 6
1481 8066 5
3251 4755 4
1052 1901 3
153 7404 8
7335 9076 9
2733 6077 10
4877 2047 6
2174 593 1
4980 6460 6
9813 9146 1
6471 627 8
8115 231 3
7310 1283 7
8843 7788 3
6162 5124 9
6000 4209 8
3441 9086 5
7856 1260 9
67 2592 1
2914 2406 7
8404 8877 6
1961 3344 7
6626 7006 2
9544 2201 1
9866 8363 7
5616 716 6
7443 4157 2
1317 2014 4
2137 8433 7
9417 1347 5
2195 6103 4
5601 8065 8
9237 1043 6
509 587 8
5921 6805 3
6457 2421 9
1202 6216 9
5033 7533 5
6476 6023 8
6864 5440 7
9658 7636 10
7681 3237 7
5400 8826 10
126 5687 9
3405 1608 4
5047 8065 7
3758 9267 3
6626 652 9
7860 3481 2
3879 345 2
1245 6356 10
1066 4037 9
8953 5790 6
4234 5916 5
103 9321 4
9128 720 9
575 4478 9
4589 1104 1
6137 5316 4
60 5547 10
3072 6792 6
6423 4211 5
3012 9516 5
4779 3750 3
2233 3853 6
7648 2982 7
4777 9909 5
3877 4498 2
3629 6988 10
6863 7048 8
442 6472 2
6729 2896 3
3405 2260 9
9520 7039 2
4254 5624 5
8310 3273 9
9438 4402 10
8692 8279 1
1755 1908 9
135 5123 7
414 1917 10
7485 8646 8
5120 2052 8
2270 7924 9
3171 8530 5
4278 6840 8
8366 6278 2
5068 1323 3
6268 3078 4
4456 9565 7
6044 9979 5
4105 3817 3
5062 8937 7
4631 1207 3
1239 731 4
6176 5009 4
4385 9727 5
6997 4795 10
4239 1063 8
9742 1871 6
6721 7916 7
9265 8373 6
6807 3436 3
9106 8067 3
9328 5659 4
8081 8187 3
27 2572 2
8251 9569 8
4150 161 3
9479 6255 7
726 2976 5
1953 2241 8
3348 5401 4
33 4507 4
4277 187 5
9252 8269 2
2884 8296 4
8947 2899 6
3454 7049 7
5377 2880 2
1875 3607 9
6289 1912 2
9076 1612 5
1652 1645 4
2295 2274 2
1301 1526 3
2142 762 9
1907 9710 10
1242 3164 9
7090 4893 1
2842 6768 8
7922 3057 2
1595 8486 5
670 138 2
6955 8785 7
3428 86 5
8170 8580 8
7560 6839 8
9849 8082 4
5539 5172 10
4110 4366 10
2639 8640 8
3081 236 6
1487 7258 4
1538 4213 9
216 3994 7
421 2164 7
7740 9725 6
4769 5926 10
4962 1466 5
6401 5576 1
961 8215 4
4930 7648 2
3737 9135 10
6330 7026 5
7708 3594 9
1876 4015 6
8272 8107 1
1507 2876 7
5529 7839 5
4723 592 1
4635 7905 9
3188 9187 7
8329 2924 5
7080 5606 1
45 9666 7
3355 1542 5
8830 9814 2
382 7674 9
7861 3203 10
6805 4278 4
1326 8913 2
6766 8454 1
9854 3135 8
2078 216 4
7680 6613 1
6877 6320 5
2793 5151 10
464 1885 6
7364 9746 1
2103 6552 9
139 4230 4
6080 7348 10
3912 7202 6
4669 5633 4
7385 9665 7
3415 2894 9
3691 5687 10
7430 6152 8
1547 3516 4
5219 1972 8
6817 2111 10
33 4543 8
8054 8455 3
2859 9477 6
584 6862 1
4922 6629 8
5581 320 5
7742 4103 7
1789 5650 6
5583 870 8
8632 4039 9
2264 424 4
3243 8479 1
1425 7690 8
1592 8275 2
1425 3197 1
4152 5130 4
2566 2873 7
3485 4662 9
7920 6597 1
4327 1582 3
9197 3846 9
4962 7089 8
9182 4867 1
9232 2811 8
6143 588 7
6036 4740 8
6249 3659 1
6917 3496 3
3235 1416 3
3128 2095 5
7060 1292 1
7768 2606 2
3308 1788 1
2890 1020 3
747 3516 1
8153 9552 4
7042 2153 5
2452 9070 1
8877 8657 9
1899 1785 4
2855 8845 8
1305 2966 4
9548 6274 4
2659 9164 7
4933 6263 3
1443 768 5
5398 7811 8
9364 6615 10
6826 1844 7
5704 95 3
3029 2950 10
7998 607 8
5573 156 4
4937 2815 10
8025 7748 3
8277 5543 2
4433 7294 5
2742 6658 10
121 9837 7
2509 5541 2
331 4923 3
9703 9273 10
2040 4847 8
3356 6136 3
3835 4161 3
6930 2438 9
793 3223 3
2467 5965 3
7108 6086 10
3594 8595 4
176 5279 7
6060 1334 10
2551 9726 9
9199 3082 5
5013 3270 8
8576 200 6
386 993 9
3138 9812 6
5252 6920 4
7204 6867 10
4697 3395 1
3465 9455 7
1506 2006 3
747 7557 6
9771 2571 6
5661 1147 8
3988 1533 1
9187 1023 3
3054 2627 5
3008 9831 2
7909 880 7
4441 697 4
2307 2204 3
9899 2951 10
6926 9074 1
7223 4735 10
7720 8724 5
5562 4263 10
6864 7317 8
7791 6677 1
5584 4586 2
421 9027 9
7416 1334 5
6418 7586 8
9330 4512 3
8460 1736 10
1442 5808 6
5956 1371 9
7846 4587 9
8715 8730 8
9415 4315 5
7348 1088 4
5979 8504 1
6813 1275 7
3303 605 1
8867 5417 9
9166 3211 8
894 9168 1
532 3366 10
192 2081 1
2882 7848 6
3806 5197 4
6461 7528 8
451 693 5
8379 3996 2
7172 2863 2
7700 8382 3
389 9276 1
4449 6160 9
5801 2705 10
9531 5587 9
7576 9393 8
3061 2206 6
7050 9010 9
2315 3741 6
888 913 1
4879 8614 3
2082 9003 9
4804 9805 10
893 5606 5
5414 1489 2
1432 5417 7
5351 8478 5
446 5528 5
6235 4195 7
2372 5084 10
1372 6315 6
8755 8397 2
5413 9554 9
4584 447 5
6460 2213 6
3923 3646 3
7131 8997 1
2546 5796 1
3322 2031 9
1488 755 5
6920 2127 10
7317 882 10
6718 2648 4
2276 3584 3
9792 45 6
8797 320 2
9571 7452 2
8823 9998 10
9956 9672 1
5284 7513 6
2048 4433 5
1479 8102 8
9308 4821 8
6691 3449 2
873 9594 9
7269 4743 10
3662 4315 2
5405 9490 2
2944 9446 4
8866 4730 7
9191 3130 2
4348 4610 7
4035 270 10
9074 6962 9
1345 7835 5
6366 1456 9
5355 5119 6
8148 6876 6
7291 9821 5
6106 8687 5
2435 4231 8
3196 8579 10
4764 8966 10
1153 8040 4
7344 9385 2
3128 5751 8
8 7458 9
1203 5606 6
8241 2897 7
4725 5356 6
2291 7791 7
9340 987 6
999 2104 2
9281 3257 2
4524 601 10
3955 3730 3
1195 90 2
3553 7646 10
9140 5887 10
8196 6964 6
2292 5607 7
6970 4948 6
3876 5947 10
6099 1580 8
6363 6105 1
6012 6412 1
4116 7607 4
3327 7513 10
4497 6653 9
1268 1202 3
7043 3494 10
609 6816 8
1514 7044 8
876 3144 10
7143 9507 7
363 1871 10
3666 5987 9
7059 5667 2
4450 164 6
7728 7784 8
4322 4827 4
171 5436 10
7321 3302 5
6770 530 1
7799 7673 10
1286 4389 3
7537 4407 10
1395 7818 7
2767 2268 3
7144 6348 7
2723 670 6
8148 7193 4
389 4514 7
9675 7636 7
2105 1788 3
6746 3074 4
3258 6963 3
2110 8358 1
276 7477 1
1311 973 9
129 3696 1
127 8196 4
5560 8586 1
648 8261 7
9915 6719 5
9559 9817 1
9944 3076 4
4736 5186 5
7346 1814 4
4928 9477 8
2506 5959 6
3458 6086 5
5251 1646 1
7911 2295 4
8208 8562 5
6644 8121 3
4507 4417 9
2980 9153 7
2516 2851 1
5882 7779 9
221 6637 8
8256 95 4
7192 5346 10
4714 9610 7
498 4170 9
5704 814 10
4376 5321 7
2476 4654 2
5762 3522 3
7215 9404 2
8145 9625 1
5034 4234 6
1657 1426 5
6278 6141 5
3195 2991 5
8673 8695 1
8625 9424 5
2993 8252 9
6515 367 3
9239 7582 8
9743 2079 5
6883 7113 1
4119 8770 10
3053 1400 1
7949 947 4
663 5973 1
6895 950 7
8449 3943 10
1009 6810 9
7092 2402 3
8931 2145 2
395 9028 5
8798 9499 7
8627 2552 7
949 6853 7
6262 3868 10
2974 764 10
9111 9213 5
9852 223 8
960 7315 10
6002 2598 5
3123 9345 3
3709 8143 3
3065 6770 7
173 4071 1
8229 6685 9
8610 9660 5
3589 5123 9
5216 4975 2
3653 2287 9
4492 4641 7
7476 7764 2
5840 7825 8
3704 890 8
473 1063 2
7743 5645 7
5233 4255 7
3488 4197 2
7308 5765 9
4999 9418 6
2709 262 7
3017 4090 3
2670 9930 8
467 9987 10
1387 460 6
6378 4555 1
8054 9788 8
5743 9628 7
8554 6936 2
9045 8287 2
5470 7348 4
2889 365 4
4423 3036 7
3783 3503 4
4032 4890 4
8049 7620 9
1359 5675 9
1629 1418 8
6095 6324 6
2679 5369 6
8680 7192 4
4944 6433 10
1649 856 8
8285 991 1
1260 1376 4
8343 9425 4
6333 785 1
4112 8766 1
7871 4861 8
4918 3892 7
253 2573 1
9289 3869 4
2338 1870 3
1127 156 4
3419 7768 10
602 6112 8
1758 8797 3
8588 2909 1
9541 7132 4
6818 2051 7
9464 8656 2
2007 7945 1
4630 6635 1
814 7762 9
7990 1182 8
6541 8136 2
4518 6246 9
9632 1187 1
3512 728 3
8606 7546 6
7592 3362 3
5503 5369 8
3635 6352 6
3637 3518 10
148 1508 2
4427 8050 1
4818 2568 9
358 8553 6
8808 2065 6
743 7023 2
4728 4615 7
3722 6470 8
4310 6457 2
4237 95 1
1926 6595 9
7150 1022 1
6862 2192 2
2820 2550 5
9966 7711 2
543 8454 6
2315 3182 3
153 6905 6
3360 7567 3
9272 8156 10
5054 82 5
2344 7232 7
7685 4094 9
1946 3267 10
1112 9585 1
2343 128 7
598 2443 1
6173 8948 6
8218 2309 5
6720 7933 1
1670 2987 6
3214 5331 8
2133 9368 5
6891 7666 2
552 8778 7
1924 7474 5
8102 4424 1
7463 597 1
80 8815 10
6617 1888 5
4957 3558 4
6084 3124 6
8092 1609 4
6898 4853 1
8971 5405 1
629 3682 5
2415 1784 10
6645 9247 7
6176 5680 5
4367 2297 3
6844 3606 3
2307 9691 9
3102 4135 9
9618 1033 2
3800 4 9
3112 6985 3
3547 9400 8
4758 6046 7
214 8574 7
7190 9293 6
9702 6137 3
8476 8445 4
375 7899 9
3883 3869 2
8596 4021 8
8714 7134 3
8867 7033 3
7156 1791 1
1044 8357 7
613 5548 3
2478 1602 10
7950 79 7
3113 454 9
2411 689 10
9094 9285 2
2133 4351 8
2157 9570 1
1582 6726 4
3404 7771 3
3801 8384 1
6195 7214 4
4726 5165 3
1703 8278 9
9283 7042 8
732 6136 5
2555 8270 6
1512 6779 7
3854 8361 5
4339 1766 8
3182 5567 4
3924 1762 9
6269 2840 4
8693 895 4
1571 178 6
1490 7263 5
694 9818 7
4250 7683 6
3728 7889 8
6284 8581 4
6612 1763 3
1675 5687 7
305 1957 7
7748 650 3
6174 8574 3
1641 64 6
3245 759 7
5823 1361 10
8829 1441 1
6548 7725 2
9681 689 7
1085 2365 5
4251 9022 4
6609 3123 6
9863 9297 2
3296 938 7
3991 536 8
857 6359 1
1758 5188 2
549 1736 9
4272 7769 9
9759 5206 6
933 9457 8
6768 2419 1
9605 2282 8
1017 5578 9
8845 5922 5
7432 3131 4
84 4890 5
7825 1791 3
5995 6063 5
8503 5822 1
9728 3107 1
6328 6227 10
9698 5833 4
8718 3202 5
5028 2047 7
5522 5831 8
8727 5915 10
3473 92 1
9956 6087 5
6912 943 7
2722 7023 5
694 3351 4
4733 9402 7
3759 4472 9
8363 9500 8
8889 1374 1
8898 101 6
3798 9927 8
488 9883 8
9594 3147 1
4523 5869 4
2559 6564 6
6822 7649 10
6919 7760 2
6569 6123 4
4619 1364 8
8499 263 1
4647 413 8
4534 7253 3
3213 6848 10
6483 1371 2
3129 3930 8
3126 7104 9
2525 375 10
2748 6945 3
2471 7916 8
9920 6415 3
3822 1062 6
7652 1949 9
1364 5162 9
4576 7998 2
9 7479 4
2006 605 9
8004 9482 4
1763 2230 9
7998 1053 7
5597 7325 3
9811 1147 7
8086 8799 6
9966 6516 1
5047 7444 1
1498 7453 10
8232 9459 7
2070 3815 9
6283 5579 1
3794 9929 4
